reference,inference
"MATCH (n:Article) -[:HAS_DOI]->(m:DOI) WITH DISTINCT n, m RETURN n.abstract AS abstract, count(m) AS count LIMIT 20","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {abstract: STRING}
DOI {}

Relevant relationships are:
{'start': Article, 'type': HAS_DOI, 'end': DOI }
question:Search for the abstract values from 20 Article that are linked to DOI via HAS_DOI and return abstract along with the respective DOI counts!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (a:Article)-[:HAS_DOI]->(d:DOI)
WHERE a.id IN (LIMIT 20)
RETURN a.abstract AS abstract, count(d) AS doi_count
```

**Explanation:**

1.  **`MATCH (a:Article)-[:HAS_DOI]->(d:DOI)`**: This part of the query matches the following pattern:
    *   `a:Article`:  Finds nodes labeled `Article` and assigns them to the variable `a`.
    *   `-[:HAS_DOI]->`:  Finds relationships of type `HAS_DOI` directed from `Article` to `DOI`.
    *   `d:DOI`: Finds nodes labeled `DOI` and assigns them to the variable `d`.

2.  **`WHERE a.id IN (LIMIT 20)`**: This filters the results to only include articles with `id` within the first 20 articles based on `id` field. This ensures that the query returns only the first 20 articles.

3.  **`RETURN a.abstract AS abstract, count(d) AS doi_count`**: This specifies what to return from the"
"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre) WITH g, avg(m.revenue) AS avg_revenue ORDER BY avg_revenue ASC LIMIT 3 RETURN g.name AS genre, avg_revenue","```cypher
MATCH (m:Movie)
WITH m, m.revenue AS revenue
ORDER BY revenue ASC
LIMIT 3
MATCH (m:Movie)
WITH m
UNWIND m.genres AS genre
RETURN genre.name, m.revenue
```"
"MATCH (user:User)-[:VIP]->(stream:Stream) WITH user, count(DISTINCT stream) AS vip_stream_count WHERE vip_stream_count >= 3 MATCH (user)-[:MODERATOR]->(:Stream) RETURN count(DISTINCT user) AS vip_moderator_count","```cypher
MATCH (u:User)-[:VIP]->(s:Stream)-[:VIP]->(u2:User)
WHERE u <> u2 AND count(distinct s) >= 3 AND u2)-[:MODERATOR]->(s)
RETURN u
```"
MATCH (t:Tweet) RETURN t.id ORDER BY t.created_at ASC LIMIT 1,"```cypher
MATCH (me:Me)-[:POSTS]->(tweet:Tweet)
RETURN tweet AS tweet
ORDER BY tweet.created_at ASC
LIMIT 1
```"
"MATCH (p:Product) WITH p.Product_Type_Code AS Product_Type_Code, COUNT(p) as count WHERE count >= 2 RETURN Product_Type_Code","```cypher
MATCH (p:Product)-[:CONTAINS]->(productInEvent:ProductsInEvent)
RETURN p.Product_Type_Code
GROUP BY p.Product_Type_Code
HAVING COUNT(productInEvent) >= 2
```"
"MATCH (n:Article) -[r:PUBLISHED_IN]->(m:Journal) WHERE r.year='2000' WITH DISTINCT n, m RETURN n.title AS title, count(m) AS count LIMIT 20","```cypher
MATCH (a:Article)-[:start {type: 'PUBLISHED_IN'}]->(j:Journal)
WHERE a.title =~ '^(Article|a)' AND a.title.length() <= 20 AND
      j.year = '2000'
RETURN a.title AS Title, count(j) AS JournalCount
```"
"MATCH (neo4j:Me {screen_name: 'neo4j'})<-[:FOLLOWS]-(user:User) RETURN user.screen_name, user.name, user.followers, user.following, user.profile_image_url, user.url, user.location, user.statuses ORDER BY user.followers DESC LIMIT 5","```cypher
MATCH (u:User {name: ""Neo4j""})-[:FOLLOWS]->(f:User)
RETURN f
ORDER BY f.created_at DESC
LIMIT 5
```"
"MATCH (p:Patient)-[:HAS_ALLERGY]->(:Allergy),       (p)-[:HAS_DOCTOR]->(smith:Doctor {name: 'Dr. Smith'})-[:GAVE_DIAGNOSIS]->(diagnosis:Diagnosis)<-[:HAS_DIAGNOSIS]-(p) RETURN COUNT(distinct p) as PatientsNum","```cypher
MATCH (d:Doctor {name: ""Smith""})-[:GAVE_DIAGNOSIS]->(diag:Diagnosis)-[:HAS_DIAGNOSIS]->(p:Patient)-[:HAS_ALLERGY]->(a:Allergy)
RETURN count(p)
```"
"MATCH (c:Campus) WHERE c.Location = ""Northridge"" AND c.County = ""Los Angeles"" OR c.Location = ""San Francisco"" AND c.County = ""San Francisco"" RETURN c.Campus","```cypher
MATCH (c:Campus)
WHERE c.Location IN [""Northridge"", ""Los Angeles"", ""San Francisco"", ""San Francisco""]
RETURN c.Location
```"
MATCH (me:Me)-[:AMPLIFIES]->(user:User) RETURN user.screen_name AS AmplifiedUser,"```cypher
MATCH (me:User {screen_name: 'neo4j'})-[:AMPLIFIES]->(user:User)
RETURN user
```"
"MATCH (me:Me {name: 'Neo4j'})-[:FOLLOWS]->(user:User) RETURN user.name, user.screen_name, user.followers, user.following ORDER BY user.followers DESC LIMIT 5","```cypher
MATCH (u:User {name: ""Neo4j""})-[:FOLLOWS]->(followedUser:User)
RETURN followedUser
ORDER BY followedUser.followers DESC
LIMIT 5
```"
MATCH (n:Article) -[:HAS_DOI]->(m:DOI) WHERE n.article_id = 1006 RETURN properties(m) AS props,"```cypher
MATCH (a:Article {article_id: 1006})-[:HAS_DOI]->(d:DOI)
RETURN d
```"
MATCH (a:UpdateDate{update_date:'2010-06-18'})-[*]->(n) RETURN DISTINCT properties(n) AS Properties,"<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
UpdateDate {update_date: DATE}
question:Enumerate the properties of nodes that are either directly or indirectly connected to UpdateDate for which update_date is 2010-06-18!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (n)-[r]->(ud:UpdateDate {update_date: '2010-06-18'})
WHERE n <> ud // Avoid matching the UpdateDate node itself
RETURN n, r, COLLECT(ud.properties) AS properties
```

**Explanation:**

1.  **`MATCH (n)-[r]->(ud:UpdateDate {update_date: '2010-06-18'})`**: This is the core of the query.
    *   `(n)`:  This matches any node (`n`) in the graph.
    *   `-[r]->`: This matches a relationship (`r`) directed from node `n` to another node.
    *   `(ud:UpdateDate {update_date: '2010-06-18'})`: This matches a node with the label `UpdateDate` that has the `update_date` property equal to '2010-06-18'.  The `ud` is an alias for this node.

2.  **`WHERE n <> ud`**: This clause ensures that the query doesn't match the `UpdateDate"
MATCH (c:CatalogContent) WHERE c.next_entry_id > 8 RETURN c.catalog_entry_name,"```cypher
MATCH (n:CatalogContentsAdditionalAttribute)-[:PART_OF]->(p:CatalogContent)
WHERE n.next_entry_id > 8
RETURN n.catalog_entry_name
```"
MATCH (u:User)-[:CHATTER]->(s:Stream)-[:VIP]->(u) RETURN avg(u.followers),"```cypher
MATCH (u:User)-[:CHATTER]->(s:Stream)-[:VIP]->(u2:User)
WHERE u <> u2 AND u.name <> u2.name
RETURN u.followers / COUNT(*) AS average_followers
```"
"MATCH (q:Question) RETURN q.title, q.score ORDER BY q.score ASC LIMIT 3","```cypher
MATCH (q:Question)
ORDER BY q.score FIELD BY q.score DESC
LIMIT 3
RETURN q
```"
MATCH (a:DOI)-[*3]->(n) WHERE a.name = '10.1016/S0764-4442(00)00217-2' RETURN properties(n) AS props,"<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
DOI {name: STRING}
question:List the properties of nodes that are 3 hops away from DOI with name equal to 10.1016/S0764-4442(00)00217-2!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (d:DOI {name: ""10.1016/S0764-4442(00)00217-2""})-[*1..3]->(n)
RETURN n
```

**Explanation:**

*   **`MATCH (d:DOI {name: ""10.1016/S0764-4442(00)00217-2""})`**: This part of the query finds a node labeled `DOI` with the specific name ""10.1016/S0764-4442(00)00217-2"".  We are assuming this is the starting node.
*   **`-[*1..3]->(n)`**:  This is the core of the query.  `[*1..3]` specifies a path of length 1 to 3 hops away.  `->` denotes a directed relationship. `(n)` represents the node that is part of the path.
*   **`RETURN n`**:  This returns the nodes found on the paths of length 1 to 3"
"MATCH (a:Article)-[:MENTIONS]->(o:Organization) WHERE a.sentiment < 0 WITH o, min(o.revenue) AS minRevenue RETURN o.name AS Organization, minRevenue ORDER BY minRevenue ASC LIMIT 1","```cypher
MATCH (o:Organization)-[:MENTIONS]->(a:Article)
WHERE a.sentiment < 0
ORDER BY o.revenue ASC
LIMIT 1
RETURN o.name AS OrganizationName
```"
"MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[orders:ORDERS]->(p:Product) WITH c, o, sum(toFloat(orders.unitPrice) * orders.quantity) AS totalOrderValue WITH c, max(totalOrderValue) AS maxTotalOrderValue, collect(o.shipCity) AS shipCities WHERE size(shipCities) > 0 RETURN c.customerID, shipCities[0] AS shipCity ORDER BY maxTotalOrderValue DESC LIMIT 1","```cypher
MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product)
RETURN c.customerID, o.shipCity
ORDER BY sum(o.unitPrice * o.quantity) DESC
LIMIT 1
```"
MATCH (e:Event) RETURN e.Name ORDER BY e.Year DESC LIMIT 1,"```cypher
MATCH (e:Event)
WHERE e.Year = (ORDER BY e.Year DESC LIMIT 1).Year
RETURN e.Name
```"
"MATCH (n:Article) -[r:PUBLISHED_IN]->(m:Journal) WHERE r.pages = '293-299' RETURN n.article_id AS article_id, count(m) AS count","```cypher
MATCH (a:Article)-[:PUBLISHED_IN]->(j:Journal)
WHERE a.article_id BETWEEN 293 AND 299
RETURN a.article_id, count(j) AS journal_count
```"
MATCH (e:Entity) WHERE EXISTS {     (e)-[:same_company_as]->(e2:Entity)     WHERE e.company_type IS NOT NULL AND e2.company_type IS NOT NULL AND e.company_type <> e2.company_type } RETURN e,"```cypher
MATCH (e:Entity)-[:officer_of]->(o:Entity)
WHERE o.company_type <> e.company_type
RETURN e.name AS Entity, o.name AS OriginalEntity, e.company_type AS OriginalCompanyType, o.company_type AS NewCompanyType
```"
MATCH (o:Order)-[rel:ORDERS]->(p:Product) WHERE rel.quantity > 10 WITH avg(toFloat(rel.unitPrice)) AS avgPrice RETURN avgPrice,"```cypher
MATCH (p:Product)-[:ORDERS {quantity:>10}]<-[r:PURCHASED]-(c:Customer)
RETURN avg(p.unitPrice)
```"
"MATCH (students:Students) RETURN students.first_name,students.middle_name,students.last_name ORDER BY students.date_first_registered ASC LIMIT 1","```cypher
MATCH (s:students)
WHERE s.date_first_registered IS NULL
RETURN s.first_name, s.middle_name, s.last_name
```"
"MATCH (e:Article{title:'Solutions to congruences using sets with the property of Baire'})-[r1]->(n)-[r2]->(m) WHERE TYPE(r1) <> TYPE(r2) RETURN properties(n) AS props1, properties(m) AS props2","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {title: STRING}
question:What are the properties of nodes connected to Article where title is Solutions to congruences using sets with the property of Baire, by two different types of relationships?<end_of_turn>
<start_of_turn>model
```cypher
MATCH (a:Article)-[r1:RELATED_TO]->(n)
MATCH (a:Article)-[r2:RELATED_TO]->(n2)
WHERE a.title = ""Solutions to congruences using sets with the property of Baire, by two different types of relationships""
RETURN n, r1, r2
```

**Explanation:**

1.  **`MATCH (a:Article)-[r1:RELATED_TO]->(n)`**:  This matches a node labeled `Article` (aliased as `a`) and finds all relationships (`r1`) of type `RELATED_TO` that connect it to other nodes (`n`).  We're interested in the connected nodes and the relationship edges.
2.  **`MATCH (a:Article)-[r2:RELATED_TO]->(n2)`**: This does the same as above, but finds a *second* relationship `r2` of type `RELATED_TO` that connects the same `Article` node (`a`) to *another* node (`n2`).  This ensures we're finding two different connections.
3.  **`WHERE a.title = ""Solutions to congru"
"MATCH (org:Organization {isPublic: true})-[:HAS_CEO]->(ceo:Person) MATCH (ceo)-[:HAS_CHILD]->(child:Person) RETURN ceo.name AS CEO, child.name AS Child","```cypher
MATCH (p:Person)-[:HAS_CEO]->(o:Organization)
WHERE o.`isPublic` = true
RETURN p
```"
"MATCH (u1:User {label: ""inchristbl.bsky.social""})-[:INTERACTED]->(u2:User) WHERE u2.area < 3 RETURN u2.label","```cypher
MATCH (u1:User)-[:INTERACTED]->(u2:User)
WHERE u2.area < 3
RETURN u2
```"
"MATCH (d:Topic)-[r]->(n) WHERE d.description CONTAINS 'Encompasses techniques for reconstructing images from blurred or incomplete data using regularizers, sparsity, and phase retrieval algorithms, with applications in compressive sensing, neural networks, and optical imaging. Focuses on understanding small-time behavior, limiting transitions, and phase transitions in signal processing and optics, as well as the role of status-dependent behavior and spiking neurons in neural networks. Emphasizes the importance of regularization, penalization, and lasso techniques in image reconstruction and phase retrieval' RETURN n, TYPE(r)","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Topic {description: STRING}
question: List all nodes that are connected to Topic where description contains Encompasses techniques for reconstructing images from blurred or incomplete data using regularizers, sparsity, and phase retrieval algorithms, with applications in compressive sensing, neural networks, and optical imaging. Focuses on understanding small-time behavior, limiting transitions, and phase transitions in signal processing and optics, as well as the role of status-dependent behavior and spiking neurons in neural networks. Emphasizes the importance of regularization, penalization, and lasso techniques in image reconstruction and phase retrieval, along with the type of their relationship with Topic!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (t:Topic)-[r]->(n)
WHERE n.description CONTAINS ""Encompasses techniques for reconstructing images from blurred or incomplete data using regularizers, sparsity, and phase retrieval algorithms, with applications in compressive sensing, neural networks, and optical imaging. Focuses on understanding small-time behavior, limiting transitions, and phase transitions in signal processing and optics, as well as the role of status-dependent behavior and spiking neurons in neural networks. Emphasizes the importance of regularization, penalization, and lasso techniques in image reconstruction and phase retrieval, along with the type of their relationship with Topic!""
RETURN n
```

**Explanation:**

*   `MATCH (t:Topic)-[r]->(n)`: This line matches a node labeled `Topic` (`t`) and any node (`n`) connected to it via a relationship (`r`).  The `->` indicates a directed relationship, which is a reasonable assumption based on the context.
*   `WHERE n.description CONTAINS ...`: This filters the results to only include nodes (`n`) where the `description` property contains the full and lengthy description provided in the question.  The `CONTAINS` operator is used to perform a substring search"
MATCH (e:Entity) WHERE e.country_codes = 'HKG' AND e.service_provider = 'Mossack Fonseca' RETURN e,"```cypher
MATCH (e:Entity {country_codes: ""HKG"", service_provider: ""Mossack Fonseca""})
RETURN e
```"
MATCH (u1:User)-[:INTERACTED]->(u2:User) WHERE u2.y < -5000 RETURN u1 LIMIT 3,"```cypher
MATCH (u:User)-[:INTERACTED]->(other:User)
WHERE other.y < -5000
RETURN u
ORDER BY u.y DESC
LIMIT 3
```"
"MATCH (s:Student) RETURN s.Major, COUNT(s) ORDER BY COUNT(s) ASC LIMIT 1","```cypher
MATCH (s:Student)
RETURN s.Major, count(s) AS StudentCount
ORDER BY StudentCount ASC
LIMIT 1
```"
"MATCH (m:Movie) WHERE m.votes IS NOT NULL RETURN m.title, m.votes ORDER BY m.votes DESC LIMIT 5","```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
RETURN m.title AS MovieTitle, COUNT(p) AS NumberOfPeople
ORDER BY NumberOfPeople DESC
LIMIT 5
```"
"MATCH (u:User) RETURN u.name, u.screen_name, count{(u)-[:FOLLOWS]->(:User)} AS followingCount ORDER BY followingCount DESC LIMIT 3","```cypher
MATCH (u:User)-[:FOLLOWS]->(f:User)
RETURN u.name, count(f) AS followers_count
ORDER BY followers_count DESC
LIMIT 3
```"
"MATCH (me:Me {screen_name: 'neo4j'})-[:INTERACTS_WITH]->(user:User) RETURN user.screen_name, COUNT(*) AS interaction_count ORDER BY interaction_count DESC LIMIT 1","```cypher
MATCH (u:User {screen_name: ""neo4j""})-[:INTERACTS_WITH]->(target)
RETURN target
ORDER BY count(u) DESC
LIMIT 1
```"
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) WHERE r.summary = 'Pretty funny at times' RETURN m.title,"```cypher
MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.summary = ""Pretty funny at times""
RETURN m
```"
"MATCH (a:Article {comments:'21 pages, AMS-LaTeX'})-[r:PUBLISHED_IN]->(b:Journal) WHERE ANY(key IN keys(a) WHERE a[key] = b[key]) RETURN b","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {comments: STRING}
Journal {}

Relevant relationships are:
{'start': Article, 'type': PUBLISHED_IN, 'end': Journal }
question:Which nodes have a common property with Article where comments is 21 pages, AMS-LaTeX and are PUBLISHED_IN linked to a Journal?<end_of_turn>
<start_of_turn>model
```cypher
MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)
WHERE a.comments CONTAINS ""21 pages"" AND a.comments CONTAINS ""AMS-LaTeX""
RETURN a
```

**Explanation:**

1.  **`MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)`**: This line matches the specified pattern:
    *   `(a:Article)`:  Finds a node labeled `Article` and assigns it to the variable `a`.
    *   `-[r:PUBLISHED_IN]->`:  Finds a relationship of type `PUBLISHED_IN` pointing to the `Article` node.
    *   `(j:Journal)`: Finds a node labeled `Journal` and assigns it to the variable `j`.  This ensures that the article is linked to a journal.

2.  **`WHERE a.comments CONTAINS ""21 pages"" AND a.comments CONTAINS ""AMS-LaTeX""`**:  This line filters the results based on the specified conditions:
    *   `a.comments CONTAINS ""21 pages""`: Checks if the `comments` property of the `"
"MATCH (p:Publication) WITH p.Publisher as Publisher, COUNT(p) AS count WHERE count > 1 return Publisher","```cypher
MATCH (p:Publication)-[:PUBLISHED_BY]->(b:Book)
WITH p, COLLECT(p.Publisher) AS publishers
WHERE size(publishers) > 1
RETURN publishers
```"
MATCH (m:Member) RETURN COUNT(DISTINCT m.Level),"```cypher
MATCH (m:Member)
RETURN count(DISTINCT m.Level)
```"
"MATCH (rust_stream:Stream)-[:PLAYS]->(game:Game {name: ""Rust""}) MATCH (rust_stream)-[:VIP]->(vip_user:User) MATCH (vip_user)-[:VIP]->(other_stream:Stream) MATCH (chatter_user:User)-[:CHATTER]->(other_stream) RETURN DISTINCT chatter_user.name","```cypher
MATCH (u:User)-[:VIP]->(s:Stream)-[:VIP]->(v:User)
WHERE s.name CONTAINS ""Rust""
RETURN DISTINCT u.name
```"
MATCH (b:Business)<-[:REVIEWS]-(r:Review) WHERE r.date = date('2018-09-10') RETURN b,"```cypher
MATCH (business:Business)-[:REVIEWS]-(review:Review)
WHERE review.date = date()
RETURN DISTINCT business.name AS businessName
```"
MATCH (m:Movie)-[:PRODUCED_BY]->(pc:ProductionCompany {name: 'Pixar Animation Studios'}) WHERE m.budget > 50000000 RETURN m.title ORDER BY m.release_date LIMIT 3,"```cypher
MATCH (p:ProductionCompany {name: ""Pixar Animation Studios""})-[:PRODUCED_BY]->(m:Movie)
WHERE m.budget > 5000000
RETURN m.title
ORDER BY m.budget DESC
LIMIT 3
```"
"MATCH (targetQuestion:Question {id: 62220505}) WITH targetQuestion.favorites AS targetFavorites MATCH (question:Question) WHERE question.favorites = targetFavorites RETURN question.id, question.text","```cypher
MATCH (q:Question {id: 62220505})
RETURN q.favorites AS favorites
WITH favorites
MATCH (q:Question)
WHERE q.favorites = favorites
RETURN q
```"
MATCH (n:Article) WHERE EXISTS { MATCH (n)-[:HAS_CATEGORY]->(:Categories) } RETURN n.title AS title,"```cypher
MATCH (article:Article)-[:HAS_CATEGORY]->(category:Categories)
RETURN article.title
```"
"MATCH (t:Tweet)-[:MENTIONS]->(u:User {screen_name: 'neo4j'}) WHERE t.favorites > 100 RETURN t.text AS tweet_text, t.favorites AS favorite_count, t.created_at AS created_at","```cypher
MATCH (u:User {screen_name: ""neo4j""})-[:POSTS]->(t:Tweet)
WHERE t.favorites > 100
RETURN t
```"
MATCH (n:Article) WHERE n.article_id > 1006 OR n.article_id < 1048 RETURN n LIMIT 8,"```cypher
MATCH (a:Article)
WHERE a.article_id > 1006 OR a.article_id < 1048
RETURN a
LIMIT 8
```"
MATCH (a:Article {title: 'Funds for Consumer Behavior Specialist Infinite An'})-[:MENTIONS]->(o:Organization) RETURN o LIMIT 3,"```cypher
MATCH (a:Article {title: ""Funds for Consumer Behavior Specialist Infinite An""})-[r:MENTIONS]->(o:Organization)
RETURN o.name
ORDER BY r.start LIMIT 3
```"
"MATCH (t:Tweet) RETURN t.text, t.favorites ORDER BY t.favorites DESC LIMIT 5","```cypher
MATCH (u:User)-[:POSTS]->(t:Tweet)
RETURN t
ORDER BY t.favorites DESC
LIMIT 5
```"
"MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product) WITH c, COUNT(DISTINCT p.productID) AS distinctProducts ORDER BY distinctProducts DESC LIMIT 3 RETURN c.companyName AS customerName, distinctProducts","```cypher
MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product)
WITH c, COLLECT(DISTINCT p.productID) AS products
ORDER BY length(products) DESC
LIMIT 3
RETURN c
```"
MATCH (o:Order {shipCountry: 'Denmark'})-[:ORDERS]->(p:Product) WITH avg(toFloat(o.discount)) AS averageDiscount RETURN averageDiscount,"```cypher
MATCH (c:Customer {country: ""Denmark""})-[:PURCHASED]->(o:Order)
RETURN avg(o.discount)
```"
"MATCH (p:Person)<-[:HAS_CEO]-(o:Organization) WHERE o.revenue IS NOT NULL RETURN p.name AS ceo, o.name AS company, o.revenue AS revenue ORDER BY o.revenue DESC LIMIT 5","```cypher
MATCH (p:Person)-[:HAS_CEO]->(o:Organization)
RETURN p.name AS CEO, o.name AS Organization, o.revenue AS Revenue
ORDER BY o.revenue DESC
LIMIT 5
```"
"MATCH (a:Article{comments:'26 pages, revised, to appear in Advances in Cryptology -- Asiacrypt   2005'})-[:HAS_CATEGORY]->(c:Categories)-[r]->(n) RETURN n","```cypher
MATCH (a:Article)-[r:HAS_CATEGORY]->(c:Categories)
WHERE a.comments = ""26 pages, revised, to appear in Advances in Cryptology -- Asiacrypt 2005""
RETURN c
```"
MATCH (m:Movie) WHERE m.votes > 100 RETURN m.title,"```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.votes > 100
RETURN m.title
```"
"MATCH (pc:ProductionCompany)-[:PRODUCED_BY]-(m:Movie) WHERE m.revenue IS NOT NULL RETURN pc.name, sum(m.revenue) AS total_revenue ORDER BY total_revenue DESC LIMIT 3","```cypher
MATCH (p:ProductionCompany)-[:PRODUCED]->(m:Movie)
WITH p, sum(m.revenue) AS total_revenue
ORDER BY total_revenue DESC
LIMIT 3
RETURN p.name, total_revenue
```"
MATCH (s:Stream)<-[:VIP]-(:User) RETURN s.name AS stream_name ORDER BY s.total_view_count DESC LIMIT 3,"```cypher
MATCH (s:Stream)-[:VIP]->(u:User)
RETURN s.name AS StreamName
ORDER BY s.total_view_count DESC
LIMIT 3
```"
"MATCH (s:Student) WHERE s.Fname =~ ""(?i).*a.*"" RETURN DISTINCT s.Fname","```cypher
MATCH (s:Student)
WHERE s.Fname CONTAINS ""a""
RETURN s.Fname
```"
"MATCH (e1:Entity {name: ""Deutsche Bank AG""}) MATCH (e1)-[:COUNTRY]->(c:Country) MATCH (c)<-[:COUNTRY]-(e2:Entity) MATCH (e2)-[:ORIGINATOR]->(f:Filing) WITH avg(f.amount) AS averageAmount RETURN averageAmount","```cypher
MATCH (e:Entity {name: ""Deutsche Bank AG""})-[:ORIGINATOR]->(f:Filing)
RETURN avg(f.amount)
```"
MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[oi:ORDERS]->(p:Product) WHERE c.country = 'USA' WITH avg(toFloat(oi.unitPrice)) AS avgPrice RETURN avgPrice,"```cypher
MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product)
WHERE o.shipCountry = ""USA""
RETURN avg(p.unitPrice)
```"
MATCH (n:Topic) WHERE n.cluster > 10 OR n.cluster < 7 RETURN n LIMIT 8,"```cypher
MATCH (t:Topic)
WHERE t.cluster > 10 OR t.cluster < 7
RETURN t
LIMIT 8
```"
