reference,gemini_inference
"MATCH (user:User)-[:VIP]->(stream:Stream) WITH user, count(DISTINCT stream) AS vip_stream_count WHERE vip_stream_count >= 3 MATCH (user)-[:MODERATOR]->(:Stream) RETURN count(DISTINCT user) AS vip_moderator_count","MATCH (u:User)-[:VIP]->(vipStream:Stream)
WITH u, COUNT(DISTINCT vipStream) AS vipStreamCount
WHERE vipStreamCount >= 3
MATCH (u)-[:MODERATOR]->(modStream:Stream)
WITH u, COUNT(DISTINCT modStream) AS modStreamCount
WHERE modStreamCount >= 1
RETURN COUNT(DISTINCT u) AS total_users"
MATCH (t:Tweet) RETURN t.id ORDER BY t.created_at ASC LIMIT 1,"MATCH (t:Tweet)
RETURN t.id
ORDER BY t.created_at ASC
LIMIT 1"
"MATCH (p:Product) WITH p.Product_Type_Code AS Product_Type_Code, COUNT(p) as count WHERE count >= 2 RETURN Product_Type_Code","MATCH (p:Product)
WITH p.Product_Type_Code AS productTypeCode, COLLECT(p) AS products
WHERE SIZE(products) >= 2
RETURN productTypeCode"
"MATCH (n:Article) -[r:PUBLISHED_IN]->(m:Journal) WHERE r.year='2000' WITH DISTINCT n, m RETURN n.title AS title, count(m) AS count LIMIT 20","MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)
WHERE r.year = '2000'
WITH a, count(DISTINCT j) AS journalCount
RETURN a.title, journalCount
LIMIT 20"
"MATCH (neo4j:Me {screen_name: 'neo4j'})<-[:FOLLOWS]-(user:User) RETURN user.screen_name, user.name, user.followers, user.following, user.profile_image_url, user.url, user.location, user.statuses ORDER BY user.followers DESC LIMIT 5","MATCH (u:User)-[:FOLLOWS]->(m:Me {name: 'Neo4j'})
RETURN u.screen_name, u.name
LIMIT 5"
"MATCH (p:Patient)-[:HAS_ALLERGY]->(:Allergy),       (p)-[:HAS_DOCTOR]->(smith:Doctor {name: 'Dr. Smith'})-[:GAVE_DIAGNOSIS]->(diagnosis:Diagnosis)<-[:HAS_DIAGNOSIS]-(p) RETURN COUNT(distinct p) as PatientsNum","MATCH (doctor:Doctor {name: ""Dr. Smith""})-[:GAVE_DIAGNOSIS]->(diagnosis:Diagnosis)<-[:HAS_DIAGNOSIS]-(patient:Patient)
WHERE EXISTS { (patient)-[:HAS_ALLERGY]->(:Allergy) }
RETURN count(DISTINCT patient)"
"MATCH (c:Campus) WHERE c.Location = ""Northridge"" AND c.County = ""Los Angeles"" OR c.Location = ""San Francisco"" AND c.County = ""San Francisco"" RETURN c.Campus","MATCH (c:Campus)
WHERE (c.Location = 'Northridge' AND c.County = 'Los Angeles') OR (c.Location = 'San Francisco' AND c.County = 'San Francisco')
RETURN c.Campus"
MATCH (me:Me)-[:AMPLIFIES]->(user:User) RETURN user.screen_name AS AmplifiedUser,"MATCH (m:Me)-[:AMPLIFIES]->(u:User)
RETURN u.screen_name"
"MATCH (me:Me {name: 'Neo4j'})-[:FOLLOWS]->(user:User) RETURN user.name, user.screen_name, user.followers, user.following ORDER BY user.followers DESC LIMIT 5","MATCH (u:User {name: 'Neo4j'})-[:FOLLOWS]->(followedUser:User)
RETURN followedUser.name AS followedUserName
LIMIT 5"
MATCH (n:Article) -[:HAS_DOI]->(m:DOI) WHERE n.article_id = 1006 RETURN properties(m) AS props,"MATCH (a:Article {article_id: 1006})-[:HAS_DOI]->(d:DOI)
RETURN properties(d)"
MATCH (a:UpdateDate{update_date:'2010-06-18'})-[*]->(n) RETURN DISTINCT properties(n) AS Properties,"MATCH (u:UpdateDate {update_date: date('2010-06-18')})-[*]-(n)
WHERE n <> u
RETURN DISTINCT properties(n)"
MATCH (c:CatalogContent) WHERE c.next_entry_id > 8 RETURN c.catalog_entry_name,"MATCH (c:CatalogContent)
WHERE c.next_entry_id > 8
RETURN c.catalog_entry_name"
MATCH (u:User)-[:CHATTER]->(s:Stream)-[:VIP]->(u) RETURN avg(u.followers),"MATCH (u:User)-[:CHATTER]->(s:Stream), (u)-[:VIP]->(s)
RETURN avg(s.followers)"
"MATCH (q:Question) RETURN q.title, q.score ORDER BY q.score ASC LIMIT 3","MATCH (q:Question)
RETURN q
ORDER BY q.score ASC
LIMIT 3"
MATCH (a:DOI)-[*3]->(n) WHERE a.name = '10.1016/S0764-4442(00)00217-2' RETURN properties(n) AS props,"MATCH (d:DOI {name: '10.1016/S0764-4442(00)00217-2'})-[*3]-(n)
RETURN properties(n)"
"MATCH (a:Article)-[:MENTIONS]->(o:Organization) WHERE a.sentiment < 0 WITH o, min(o.revenue) AS minRevenue RETURN o.name AS Organization, minRevenue ORDER BY minRevenue ASC LIMIT 1","MATCH (org:Organization)<-[:MENTIONS]-(article:Article)
WHERE article.sentiment < 0
WITH org
ORDER BY org.revenue ASC
LIMIT 1
RETURN org.name"
"MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[orders:ORDERS]->(p:Product) WITH c, o, sum(toFloat(orders.unitPrice) * orders.quantity) AS totalOrderValue WITH c, max(totalOrderValue) AS maxTotalOrderValue, collect(o.shipCity) AS shipCities WHERE size(shipCities) > 0 RETURN c.customerID, shipCities[0] AS shipCity ORDER BY maxTotalOrderValue DESC LIMIT 1","MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[r:ORDERS]->(p:Product)
WITH c.customerID AS customerID, o.shipCity AS shipCity, toFloat(r.unitPrice) * r.quantity AS itemValue
WITH customerID, shipCity, SUM(itemValue) AS orderTotal
WITH customerID, COLLECT(DISTINCT shipCity) AS distinctShipCities, SUM(orderTotal) AS totalCustomerValue
ORDER BY totalCustomerValue DESC
LIMIT 1
RETURN customerID, distinctShipCities[0] AS shipCity"
MATCH (e:Event) RETURN e.Name ORDER BY e.Year DESC LIMIT 1,"MATCH (e:Event)
RETURN e.Name
ORDER BY e.Year DESC
LIMIT 1"
"MATCH (n:Article) -[r:PUBLISHED_IN]->(m:Journal) WHERE r.pages = '293-299' RETURN n.article_id AS article_id, count(m) AS count","MATCH (article:Article)-[published_in:PUBLISHED_IN]->(journal:Journal)
WHERE published_in.pages = '293-299'
RETURN article.article_id AS article_id, count(journal) AS journal_count"
MATCH (e:Entity) WHERE EXISTS {     (e)-[:same_company_as]->(e2:Entity)     WHERE e.company_type IS NOT NULL AND e2.company_type IS NOT NULL AND e.company_type <> e2.company_type } RETURN e,"MATCH (e1:Entity)-[:same_company_as]-(e2:Entity)
WHERE e1.company_type IS NOT NULL
  AND e2.company_type IS NOT NULL
  AND e1.company_type <> e2.company_type
RETURN DISTINCT e1.name AS CompanyName"
MATCH (o:Order)-[rel:ORDERS]->(p:Product) WHERE rel.quantity > 10 WITH avg(toFloat(rel.unitPrice)) AS avgPrice RETURN avgPrice,"MATCH (:Order)-[r:ORDERS]->(p:Product)
WHERE r.quantity > 10
RETURN avg(DISTINCT p.unitPrice) AS averageUnitPrice"
"MATCH (students:Students) RETURN students.first_name,students.middle_name,students.last_name ORDER BY students.date_first_registered ASC LIMIT 1","MATCH (s:students)
RETURN s.first_name, s.middle_name, s.last_name
ORDER BY s.date_first_registered ASC
LIMIT 1"
"MATCH (e:Article{title:'Solutions to congruences using sets with the property of Baire'})-[r1]->(n)-[r2]->(m) WHERE TYPE(r1) <> TYPE(r2) RETURN properties(n) AS props1, properties(m) AS props2","MATCH (a:Article {title: ""Solutions to congruences using sets with the property of Baire, by two different types of relationships""})
MATCH (a)-[r]-(n)
WITH n, count(DISTINCT type(r)) AS distinctRelationshipTypes
WHERE distinctRelationshipTypes >= 2
RETURN properties(n)"
"MATCH (org:Organization {isPublic: true})-[:HAS_CEO]->(ceo:Person) MATCH (ceo)-[:HAS_CHILD]->(child:Person) RETURN ceo.name AS CEO, child.name AS Child","MATCH (p:Person)<-[:HAS_CEO]-(o:Organization)
WHERE o.isPublic = true
MATCH (p)-[:HAS_CHILD]->(child:Person)
RETURN child.name AS ChildName"
"MATCH (u1:User {label: ""inchristbl.bsky.social""})-[:INTERACTED]->(u2:User) WHERE u2.area < 3 RETURN u2.label","MATCH (u:User)-[:INTERACTED]->(target:User)
WHERE target.label = 'inchristbl.bsky.social' AND u.area < 3
RETURN u"
"MATCH (d:Topic)-[r]->(n) WHERE d.description CONTAINS 'Encompasses techniques for reconstructing images from blurred or incomplete data using regularizers, sparsity, and phase retrieval algorithms, with applications in compressive sensing, neural networks, and optical imaging. Focuses on understanding small-time behavior, limiting transitions, and phase transitions in signal processing and optics, as well as the role of status-dependent behavior and spiking neurons in neural networks. Emphasizes the importance of regularization, penalization, and lasso techniques in image reconstruction and phase retrieval' RETURN n, TYPE(r)","MATCH (t:Topic)
WHERE t.description CONTAINS ""Encompasses techniques for reconstructing images from blurred or incomplete data using regularizers, sparsity, and phase retrieval algorithms, with applications in compressive sensing, neural networks, and optical imaging. Focuses on understanding small-time behavior, limiting transitions, and phase transitions in signal processing and optics, as well as the role of status-dependent behavior and spiking neurons in neural networks. Emphasizes the importance of regularization, penalization, and lasso techniques in image reconstruction and phase retrieval""
MATCH (t)-[r]-(n)
RETURN n, type(r)"
MATCH (e:Entity) WHERE e.country_codes = 'HKG' AND e.service_provider = 'Mossack Fonseca' RETURN e,"MATCH (e:Entity)
WHERE e.country_codes = 'HKG' AND e.service_provider = 'Mossack Fonseca'
RETURN e"
MATCH (u1:User)-[:INTERACTED]->(u2:User) WHERE u2.y < -5000 RETURN u1 LIMIT 3,"MATCH (u1:User)-[:INTERACTED]->(u2:User)
WHERE u2.y < -5000
RETURN DISTINCT u1
LIMIT 3"
"MATCH (s:Student) RETURN s.Major, COUNT(s) ORDER BY COUNT(s) ASC LIMIT 1","MATCH (s:Student)
WITH s.Major AS Major, count(s) AS NumberOfStudents
ORDER BY NumberOfStudents ASC
LIMIT 1
RETURN Major, NumberOfStudents"
"MATCH (m:Movie) WHERE m.votes IS NOT NULL RETURN m.title, m.votes ORDER BY m.votes DESC LIMIT 5","MATCH (movie:Movie)
RETURN movie.title, movie.votes
ORDER BY movie.votes DESC
LIMIT 5"
"MATCH (u:User) RETURN u.name, u.screen_name, count{(u)-[:FOLLOWS]->(:User)} AS followingCount ORDER BY followingCount DESC LIMIT 3","MATCH (u:User)
RETURN u.screen_name, u.following
ORDER BY u.following DESC
LIMIT 3"
"MATCH (me:Me {screen_name: 'neo4j'})-[:INTERACTS_WITH]->(user:User) RETURN user.screen_name, COUNT(*) AS interaction_count ORDER BY interaction_count DESC LIMIT 1","MATCH (me:Me {screen_name: 'neo4j'})-[r:INTERACTS_WITH]->(user:User)
RETURN user.screen_name AS InteractedUser, COUNT(r) AS InteractionCount
ORDER BY InteractionCount DESC
LIMIT 1"
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) WHERE r.summary = 'Pretty funny at times' RETURN m.title,"MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE r.summary = 'Pretty funny at times'
RETURN m.title"
"MATCH (a:Article {comments:'21 pages, AMS-LaTeX'})-[r:PUBLISHED_IN]->(b:Journal) WHERE ANY(key IN keys(a) WHERE a[key] = b[key]) RETURN b","MATCH (a:Article)-[:PUBLISHED_IN]->(:Journal)
WHERE a.comments = '21 pages, AMS-LaTeX'
RETURN a"
"MATCH (p:Publication) WITH p.Publisher as Publisher, COUNT(p) AS count WHERE count > 1 return Publisher","MATCH (p:Publication)
WITH p.Publisher AS Publisher, COUNT(p) AS PublicationCount
WHERE PublicationCount > 1
RETURN Publisher"
MATCH (m:Member) RETURN COUNT(DISTINCT m.Level),"MATCH (m:Member)
RETURN COUNT(DISTINCT m.Level)"
"MATCH (rust_stream:Stream)-[:PLAYS]->(game:Game {name: ""Rust""}) MATCH (rust_stream)-[:VIP]->(vip_user:User) MATCH (vip_user)-[:VIP]->(other_stream:Stream) MATCH (chatter_user:User)-[:CHATTER]->(other_stream) RETURN DISTINCT chatter_user.name","MATCH (user1:User)-[:CHATTER]->(stream1:Stream)-[:VIP]->(user2:User)
MATCH (user2)-[:VIP]->(stream2:Stream)-[:PLAYS]->(game:Game)
WHERE game.name = ""Rust""
RETURN DISTINCT user1"
MATCH (b:Business)<-[:REVIEWS]-(r:Review) WHERE r.date = date('2018-09-10') RETURN b,"MATCH (b:Business)<-[:REVIEWS]-(r:Review)
WHERE r.date = date('2018-09-10')
RETURN b.name"
MATCH (m:Movie)-[:PRODUCED_BY]->(pc:ProductionCompany {name: 'Pixar Animation Studios'}) WHERE m.budget > 50000000 RETURN m.title ORDER BY m.release_date LIMIT 3,"MATCH (movie:Movie)-[:PRODUCED_BY]->(company:ProductionCompany)
WHERE company.name = 'Pixar Animation Studios' AND movie.budget > 50000000
RETURN movie.title
LIMIT 3"
"MATCH (targetQuestion:Question {id: 62220505}) WITH targetQuestion.favorites AS targetFavorites MATCH (question:Question) WHERE question.favorites = targetFavorites RETURN question.id, question.text","MATCH (q1:Question)
WHERE q1.id = 62220505
WITH q1.favorites AS targetFavorites
MATCH (q2:Question)
WHERE q2.favorites = targetFavorites
RETURN q2"
MATCH (n:Article) WHERE EXISTS { MATCH (n)-[:HAS_CATEGORY]->(:Categories) } RETURN n.title AS title,"MATCH (a:Article)-[:HAS_CATEGORY]->(:Categories)
RETURN a.title"
"MATCH (t:Tweet)-[:MENTIONS]->(u:User {screen_name: 'neo4j'}) WHERE t.favorites > 100 RETURN t.text AS tweet_text, t.favorites AS favorite_count, t.created_at AS created_at","MATCH (t:Tweet)-[:MENTIONS]->(u)
WHERE u.screen_name = 'neo4j' AND t.favorites > 100
RETURN t"
MATCH (n:Article) WHERE n.article_id > 1006 OR n.article_id < 1048 RETURN n LIMIT 8,"MATCH (a:Article)
WHERE a.article_id > 1006 OR a.article_id < 1048
RETURN a
LIMIT 8"
MATCH (a:Article {title: 'Funds for Consumer Behavior Specialist Infinite An'})-[:MENTIONS]->(o:Organization) RETURN o LIMIT 3,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)
WHERE a.title = 'Funds for Consumer Behavior Specialist Infinite An'
RETURN o.name
LIMIT 3"
"MATCH (t:Tweet) RETURN t.text, t.favorites ORDER BY t.favorites DESC LIMIT 5","MATCH (t:Tweet)
RETURN t.text, t.favorites
ORDER BY t.favorites DESC
LIMIT 5"
"MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product) WITH c, COUNT(DISTINCT p.productID) AS distinctProducts ORDER BY distinctProducts DESC LIMIT 3 RETURN c.companyName AS customerName, distinctProducts","MATCH (customer:Customer)-[:PURCHASED]->(order:Order)-[:ORDERS]->(product:Product)
WITH customer, COUNT(DISTINCT product.productID) AS distinctProductCount
ORDER BY distinctProductCount DESC
LIMIT 3
RETURN customer.companyName, distinctProductCount"
MATCH (o:Order {shipCountry: 'Denmark'})-[:ORDERS]->(p:Product) WITH avg(toFloat(o.discount)) AS averageDiscount RETURN averageDiscount,"MATCH (:Customer)-[p:PURCHASED]->(o:Order)
WHERE o.shipCountry = 'Denmark'
MATCH (o)-[r:ORDERS]->(:Product)
RETURN avg(toFloat(r.discount)) AS averageDiscount"
"MATCH (p:Person)<-[:HAS_CEO]-(o:Organization) WHERE o.revenue IS NOT NULL RETURN p.name AS ceo, o.name AS company, o.revenue AS revenue ORDER BY o.revenue DESC LIMIT 5","MATCH (p:Person)<-[:HAS_CEO]-(o:Organization)
WHERE o.revenue IS NOT NULL
RETURN p.name AS CEO, o.revenue AS OrganizationRevenue
ORDER BY o.revenue DESC
LIMIT 5"
"MATCH (a:Article{comments:'26 pages, revised, to appear in Advances in Cryptology -- Asiacrypt   2005'})-[:HAS_CATEGORY]->(c:Categories)-[r]->(n) RETURN n","MATCH (a:Article)-[:HAS_CATEGORY]->(c:Categories)
WHERE a.comments = '26 pages, revised, to appear in Advances in Cryptology -- Asiacrypt 2005'
RETURN c"
MATCH (m:Movie) WHERE m.votes > 100 RETURN m.title,"MATCH (m:Movie)
WHERE m.votes > 100
RETURN m.title"
"MATCH (pc:ProductionCompany)-[:PRODUCED_BY]-(m:Movie) WHERE m.revenue IS NOT NULL RETURN pc.name, sum(m.revenue) AS total_revenue ORDER BY total_revenue DESC LIMIT 3","MATCH (pc:ProductionCompany)<-[:PRODUCED_BY]-(m:Movie)
RETURN pc.name AS ProductionCompany, SUM(m.revenue) AS TotalRevenue
ORDER BY TotalRevenue DESC
LIMIT 3"
MATCH (s:Stream)<-[:VIP]-(:User) RETURN s.name AS stream_name ORDER BY s.total_view_count DESC LIMIT 3,"MATCH (s:Stream)-[:VIP]->(:User)
RETURN DISTINCT s.name
ORDER BY s.total_view_count DESC
LIMIT 3"
"MATCH (s:Student) WHERE s.Fname =~ ""(?i).*a.*"" RETURN DISTINCT s.Fname","MATCH (s:Student)
WHERE s.Fname CONTAINS 'a'
RETURN s.Fname"
"MATCH (e1:Entity {name: ""Deutsche Bank AG""}) MATCH (e1)-[:COUNTRY]->(c:Country) MATCH (c)<-[:COUNTRY]-(e2:Entity) MATCH (e2)-[:ORIGINATOR]->(f:Filing) WITH avg(f.amount) AS averageAmount RETURN averageAmount","MATCH (db:Entity {name: ""Deutsche Bank AG""})-[:COUNTRY]->(c:Country)
MATCH (e:Entity)-[:COUNTRY]->(c)
MATCH (f:Filing)-[:ORIGINATOR]->(e)
RETURN avg(f.amount) AS averageFilingAmount"
MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[oi:ORDERS]->(p:Product) WHERE c.country = 'USA' WITH avg(toFloat(oi.unitPrice)) AS avgPrice RETURN avgPrice,"MATCH (c:Customer)-[p:PURCHASED]->(o:Order)-[r:ORDERS]->(prod:Product)
WHERE c.country = 'USA'
RETURN AVG(toFloat(r.unitPrice)) AS averageUnitPrice"
MATCH (n:Topic) WHERE n.cluster > 10 OR n.cluster < 7 RETURN n LIMIT 8,"MATCH (t:Topic)
WHERE t.cluster > 10 OR t.cluster < 7
RETURN t
LIMIT 8"
"MATCH (b:UpdateDate)-[r]->(n) WHERE b.update_date = '2009-10-31' RETURN properties(b) AS UpdateDate_props, properties(n) AS props","MATCH (u:UpdateDate)-[]-(n)
WHERE u.update_date = date('2009-10-31')
RETURN properties(u) AS UpdateDateProperties, properties(n) AS ConnectedNodeProperties"
"MATCH (m:Movie)-[r:HAS_KEYWORD]->(k:Keyword) RETURN m.title AS movie, count(r) AS num_keywords ORDER BY num_keywords DESC LIMIT 10","MATCH (movie:Movie)-[:HAS_KEYWORD]->(keyword:Keyword)
WITH movie, COUNT(keyword) AS keywordCount
ORDER BY keywordCount DESC
LIMIT 1
MATCH (movieWithMostKeywords:Movie)-[:HAS_KEYWORD]->(k:Keyword)
WITH movieWithMostKeywords, COUNT(k) AS maxKeywordCount
WHERE maxKeywordCount = (
    MATCH (m:Movie)-[:HAS_KEYWORD]->(key:Keyword)
    WITH m, COUNT(key) AS count
    ORDER BY count DESC
    LIMIT 1
    RETURN count
)
RETURN movieWithMostKeywords.title AS movieTitle, maxKeywordCount AS numberOfKeywords"
"MATCH (m:Movie) MATCH (m)-[:ORIGINAL_LANGUAGE]->(l:Language) WITH l, count(m) AS movieCount ORDER BY movieCount DESC RETURN l.name AS language, movieCount LIMIT 1","MATCH (movie:Movie)-[:ORIGINAL_LANGUAGE]->(language:Language)
RETURN language.name AS originalLanguage, count(movie) AS movieCount
ORDER BY movieCount DESC
LIMIT 1"
MATCH (n:Author) WHERE n.last_name = 'Neeman' OR n.first_name IS NOT NULL RETURN DISTINCT n.first_name AS first_name,"MATCH (a:Author)
WHERE a.last_name = 'Neeman' OR a.first_name IS NOT NULL
RETURN DISTINCT a.first_name"
MATCH (a:Categories{category_id:'4b7053a7def1fb0250a0e83ebd2f9a7b'})-[*3]->(n) RETURN labels(n) AS FarNodes,"MATCH (c:Categories)-[*3]-(n)
WHERE c.category_id = '4b7053a7def1fb0250a0e83ebd2f9a7b'
RETURN n"
MATCH (n:Article) -[:PUBLISHED_IN{pages: '521-554'}]->(m:Journal) WHERE m.abstract < date('2020-12-31') RETURN avg(m.name) AS avg_name,"MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)
WHERE r.pages = '521-554'
  AND date(a.abstract) < date('2020-12-31')
RETURN avg(size(j.name)) AS averageJournalNameLength"
"MATCH (p:Person)-[:PRODUCED]->(m:Movie) WHERE m.tagline IS NOT NULL WITH p, count(DISTINCT m.tagline) AS distinctTaglines ORDER BY distinctTaglines DESC LIMIT 3 RETURN p.name, distinctTaglines","MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WITH p, COUNT(DISTINCT m.tagline) AS distinctTaglinesCount
ORDER BY distinctTaglinesCount DESC
LIMIT 3
RETURN p.name AS Producer, distinctTaglinesCount"
MATCH (n:Keyword) WHERE n.key_id =~'a8.*' RETURN n,"MATCH (n:Keyword)
WHERE n.key_id ENDS WITH ""a8""
RETURN n"
MATCH (e:Editor) WHERE NOT (:Journal)-[:EDited_BY]->(e) RETURN e.Name,"MATCH (e:Editor)
WHERE NOT (e)<-[:EDited_BY]-(:Journal)
RETURN e.Name"
"MATCH (T1:RepairAssignment)-[:ASSIGNED_TO]->(T3:Technician), (T1)-[:ASSIGNED_TO]->(T2:Machine) RETURN T3.Name ORDER BY T2.quality_rank","MATCH (t:Technician)-[:ASSIGNED_TO]->(ra:RepairAssignment)-[:ASSIGNED_TO]->(m:Machine)
RETURN t.Name
ORDER BY m.quality_rank ASC"
MATCH (n:Topic) WHERE n.description IS NULL RETURN n LIMIT 8,"MATCH (t:Topic)
WHERE NOT EXISTS(t.description)
RETURN t
LIMIT 8"
MATCH (q:Question) WHERE q.createdAt = datetime('2020-06-05T21:49:16Z') RETURN q,"MATCH (q:Question)
WHERE q.createdAt = datetime('2020-06-05T21:49:16Z')
RETURN q"
MATCH (m:Movie) RETURN m,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.budget > 100000000
RETURN p.name"
"MATCH (r:Review) WITH r ORDER BY r.stars DESC, r.date ASC LIMIT 3 RETURN r.reviewId, r.text, r.stars, r.date","MATCH (r:Review)
RETURN r.text, r.stars
ORDER BY r.stars DESC
LIMIT 3"
"MATCH (e:Entity) WHERE e.jurisdiction = 'SAM' AND e.struck_off_date CONTAINS '2013' RETURN e.name AS entity_name, e.struck_off_date AS struck_off_date","MATCH (e:Entity)
WHERE e.jurisdiction_description = ""Samoa"" AND e.struck_off_date ENDS WITH ""2013""
RETURN e"
MATCH (u:User {name: 'Will'})-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)-[:IN_CATEGORY]->(c:Category) RETURN DISTINCT c.name AS categories,"MATCH (u:User)-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)-[:IN_CATEGORY]->(c:Category)
WHERE u.name = 'Will'
RETURN DISTINCT c.name AS Category"
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title LIMIT 3,"MATCH (actor:Actor)-[:DIRECTED]->(movie:Movie)
RETURN movie.title
LIMIT 3"
MATCH p=(a:Article{article_id:'1048'})-[*]->(d:Keyword{name:'tree (optimality criteria: minimum mean-squared error)  alternative keyword suggestions: - multiscale superpopulation models - independent innovations trees - water-'}) RETURN count(p),"MATCH p = (a:Article {article_id: 1048})-[*]-(k:Keyword {name: 'tree'})
RETURN count(p) AS numberOfPaths"
MATCH (a:Article)-[:MENTIONS]->(o:Organization) WHERE a.sentiment < 0 AND exists {   (a)-[:HAS_CHUNK]->(c:Chunk)   WHERE c.text CONTAINS 'revenue decrease' OR c.text CONTAINS 'revenue declined' } RETURN DISTINCT o.name AS organization,"MATCH (org:Organization)<-[:MENTIONS]-(article:Article)-[:HAS_CHUNK]->(chunk:Chunk)
WHERE chunk.text CONTAINS ""revenue decrease""
RETURN DISTINCT org.name AS Organization"
"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country) WITH c.name AS country, COUNT(DISTINCT e.id) AS originator_count ORDER BY originator_count DESC LIMIT 3 RETURN country, originator_count","MATCH (f:Filing)
WITH f.originator_bank_country AS country, COLLECT(DISTINCT f.originator_bank) AS distinctBanks
RETURN country, size(distinctBanks) AS numOriginatorBanks
ORDER BY numOriginatorBanks DESC
LIMIT 3"
